day,baseline,maximin
1,7.540270135067534,7.48024012006003
2,7.830500000000001,7.908500000000001
3,8.3395,8.6815
4,8.7225,9.0495
5,8.9945,9.0905
6,9.098500000000001,8.8765
7,8.776500000000002,8.9895
8,8.313500000000001,9.2885
9,8.485,9.336
10,9.138706140350877,9.589048106448312
11,9.194627192982455,9.71596724667349
12,9.227521929824562,9.726202661207779
13,9.260416666666666,9.932958034800409
14,9.415021929824562,10.099795291709313
15,9.762609649122805,10.220061412487205
16,10.430204572803849,10.457429931253303
17,10.336341756919373,10.555261766261236
18,10.209987966305654,10.668958223162345
19,10.195547533092657,10.687466948704387
20,10.372442839951862,10.759915388683234
21,10.640538885486832,10.887182203389829
22,11.400270453008787,11.2431693989071
23,11.272481406355642,11.236612021857919
24,11.18120351588911,11.141530054644806
25,11.053414469235966,11.2431693989071
26,11.043272481406351,11.292349726775953
27,11.620253164556956,11.384700665188467
28,12.32156561780506,11.772202998846593
29,12.196469685341514,11.90369088811995
30,11.914811972371444,11.810265282583615
31,11.914044512663079,11.796424452133788
32,11.830391404451259,11.827566320645898
33,12.406451612903219,11.919459141681358
34,13.077396657871583,12.356574923547393
35,12.868953386103772,12.14923547400611
36,12.924362357080026,12.173088685015284
37,12.715919085312215,12.17125382262996
38,12.502198768689524,12.16941896024464
39,13.36827195467421,12.564943253467835
40,13.710735586481103,13.166112956810622
41,13.414512922465196,13.083056478405306
42,13.14811133200794,13.027906976744177
43,12.905566600397602,12.96079734219268
44,12.627236580516886,12.937541528239192
45,13.381818181818169,13.290521978021966
46,13.658013544018043,13.708393632416774
47,13.477426636568834,13.672214182344415
48,13.24266365688486,13.623010130246007
49,13.007900677200887,13.530390738060769
50,12.583521444695245,13.524602026049191
