,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms
0,1,2,5,0,1,0,0.9,9.0,0,0,3
0,2,2,6,1,0,0,0.20000000000000015,8.000000000000002,4,-0.2,3
0,1,2,6,0,1,0,0.8,8.0,2,-0.2,4
0,0,2,6,0,1,0,0.8,8.0,0,0,3
0,3,2,6,0,1,0,0.8,8.0,0,0,3
0,3,2,7,0,1,0,0.7000000000000001,7.0,0,0,3
0,2,2,7,1,0,0,0.10000000000000014,7.000000000000002,4,-0.2,3
0,1,2,7,0,1,0,0.7000000000000001,7.0,3,-0.2,5
0,0,2,7,0,1,0,0.7000000000000001,7.0,0,0,3
0,3,2,8,0,1,0,0.6000000000000001,6.000000000000001,0,0,3
0,0,2,8,1,1,0,0.6000000000000001,12.000000000000002,0,1,3
0,2,2,8,0,1,0,0.6000000000000002,6.000000000000002,1,1,4
0,1,2,8,0,1,0,0.6000000000000001,6.000000000000001,0,0,5
0,3,2,9,1,1,0,0.5000000000000001,11.0,0,1,4
0,2,2,9,0,1,0,0.5000000000000002,5.000000000000002,0,0,5
0,0,2,9,0,2,0,1.1,11.0,1,1,4
0,1,2,9,0,1,0,0.5000000000000001,5.000000000000001,0,0,6
0,3,2,10,0,2,0,1.0,10.0,1,1,5
0,1,2,10,0,1,0,0.40000000000000013,4.000000000000001,0,0,7
0,0,2,10,0,2,0,1.0,10.0,0,0,5
0,2,2,10,0,1,0,0.40000000000000024,4.000000000000002,0,0,6
0,1,2,11,0,1,0,0.30000000000000016,3.0000000000000013,0,0,8
0,2,2,11,1,1,0,0.30000000000000027,9.000000000000002,0,1,7
0,3,2,11,0,2,0,0.9,9.0,0,0,5
0,0,2,11,0,2,0,0.9,9.0,0,0,5
0,1,2,12,1,1,0,0.20000000000000015,8.000000000000002,0,1,9
0,2,2,12,1,1,0,0.20000000000000026,8.000000000000002,4,-0.2,7
0,3,2,12,0,2,0,0.8,8.0,0,0,5
0,0,2,12,1,2,0,0.8,13.999999999999998,0,1,5
0,2,2,13,0,2,0,0.7000000000000003,7.000000000000003,1,1,8
0,0,2,13,0,3,0,1.2999999999999998,12.999999999999998,1,1,6
0,1,2,13,0,2,0,0.7000000000000002,7.000000000000002,1,1,10
0,3,2,13,0,2,0,0.7000000000000001,7.0,0,0,5
0,0,2,14,0,3,0,1.1999999999999997,11.999999999999996,0,0,6
0,2,2,14,0,2,0,0.6000000000000003,6.000000000000003,0,0,9
0,3,2,14,1,2,0,0.6000000000000001,12.000000000000002,0,1,6
0,1,2,14,0,2,0,0.6000000000000002,6.000000000000002,0,0,10
0,2,2,15,1,2,0,0.5000000000000003,11.000000000000002,0,1,10
0,3,2,15,0,3,0,1.1,11.0,1,1,7
0,1,2,15,0,2,0,0.5000000000000002,5.000000000000002,2,-0.2,11
0,0,2,15,0,3,0,1.0999999999999996,10.999999999999996,0,0,7
0,1,2,16,1,2,0,0.40000000000000024,10.000000000000002,0,1,12
0,3,2,16,0,3,0,1.0,10.0,0,0,8
0,0,2,16,1,3,0,0.9999999999999997,15.999999999999996,0,1,8
0,2,2,16,1,2,0,0.40000000000000036,10.000000000000004,3,-0.2,11
0,3,2,17,0,3,0,0.9,9.0,0,0,8
0,0,2,17,0,4,0,1.4999999999999996,14.999999999999995,1,1,9
0,2,2,17,1,2,0,0.3000000000000004,9.000000000000004,2,-0.2,12
0,1,2,17,0,3,0,0.9000000000000002,9.000000000000002,1,1,12
0,2,2,18,1,2,0,0.20000000000000037,8.000000000000004,4,-0.2,13
0,1,2,18,0,3,0,0.8000000000000003,8.000000000000002,0,0,12
0,0,2,18,0,4,0,1.3999999999999995,13.999999999999995,0,0,9
0,3,2,18,0,3,0,0.8,8.0,0,0,8
0,0,2,19,0,4,0,1.2999999999999994,12.999999999999993,0,0,9
0,1,2,19,0,3,0,0.7000000000000003,7.000000000000003,0,0,13
0,2,2,19,0,3,0,0.7000000000000004,7.0000000000000036,1,1,13
0,3,2,19,0,3,0,0.7000000000000001,7.0,0,0,8
0,3,2,20,0,3,0,0.6000000000000001,6.000000000000001,0,0,8
0,2,2,20,0,3,0,0.6000000000000004,6.0000000000000036,0,0,14
0,0,2,20,0,4,0,1.1999999999999993,11.999999999999993,0,0,9
0,1,2,20,1,3,0,0.6000000000000003,12.000000000000002,0,1,14
0,1,2,21,0,4,0,1.1,11.0,1,1,15
0,0,2,21,0,4,0,1.0999999999999992,10.999999999999991,0,0,9
0,3,2,21,1,3,0,0.5000000000000001,11.0,0,1,9
0,2,2,21,0,3,0,0.5000000000000004,5.000000000000004,0,0,15
0,1,2,22,0,4,0,1.0,10.0,0,0,15
0,0,2,22,1,4,0,0.9999999999999992,15.999999999999991,0,1,10
0,2,2,22,1,3,0,0.40000000000000047,10.000000000000004,0,1,15
0,3,2,22,0,4,0,1.0,10.0,1,1,10
0,3,2,23,0,4,0,0.9,9.0,0,0,10
0,0,2,23,0,5,0,1.4999999999999991,14.999999999999991,1,1,10
0,1,2,23,0,4,0,0.9,9.0,0,0,16
0,2,2,23,1,3,0,0.3000000000000005,9.000000000000004,4,-0.2,15
0,2,2,24,0,4,0,0.8000000000000005,8.000000000000004,1,1,15
0,0,2,24,0,5,0,1.399999999999999,13.99999999999999,0,0,10
0,3,2,24,0,4,0,0.8,8.0,0,0,10
0,1,2,24,0,4,0,0.8,8.0,0,0,16
0,3,2,25,0,4,0,0.7000000000000001,7.0,0,0,10
0,2,2,25,0,4,0,0.7000000000000005,7.000000000000004,4,-0.2,16
0,1,2,25,0,4,0,0.7000000000000001,7.0,0,0,16
0,0,2,25,0,5,0,1.299999999999999,12.99999999999999,0,0,10
0,0,2,26,1,5,0,1.1999999999999988,17.99999999999999,0,1,10
0,1,2,26,0,4,0,0.6000000000000001,6.000000000000001,4,-0.2,17
0,3,2,26,0,4,0,0.6000000000000001,6.000000000000001,3,-0.2,11
0,2,2,26,0,4,0,0.6000000000000005,6.000000000000005,0,0,16
0,2,2,27,0,4,0,0.5000000000000006,5.000000000000005,0,0,16
0,3,2,27,0,4,0,0.5000000000000001,5.000000000000001,0,0,11
0,0,2,27,0,6,0,1.6999999999999988,16.999999999999986,1,1,10
0,1,2,27,0,4,0,0.5000000000000001,5.000000000000001,0,0,17
0,1,2,28,0,4,0,0.40000000000000013,4.000000000000001,0,0,18
0,2,2,28,0,4,0,0.4000000000000006,4.000000000000005,0,0,17
0,0,2,28,0,6,0,1.5999999999999988,15.999999999999988,0,0,10
0,3,2,28,0,4,0,0.40000000000000013,4.000000000000001,0,0,12
0,2,2,29,1,4,0,0.3000000000000006,9.000000000000005,0,1,17
0,3,2,29,1,4,0,0.30000000000000016,9.0,0,1,13
0,0,2,29,0,6,0,1.4999999999999987,14.999999999999986,0,0,10
0,1,2,29,0,4,0,0.30000000000000016,3.0000000000000013,0,0,19
0,3,2,30,0,5,0,0.8000000000000002,8.000000000000002,1,1,13
0,2,2,30,1,4,0,0.2000000000000006,8.000000000000005,4,-0.2,17
0,0,2,30,0,6,0,1.3999999999999986,13.999999999999986,0,0,10
0,1,2,30,1,4,0,0.20000000000000015,8.000000000000002,0,1,19
0,3,2,31,0,5,0,0.7000000000000002,7.000000000000002,0,0,13
0,0,2,31,0,6,0,1.2999999999999985,12.999999999999984,0,0,10
0,1,2,31,0,5,0,0.7000000000000002,7.000000000000002,1,1,19
0,2,2,31,1,4,0,0.10000000000000059,7.000000000000006,3,-0.2,18
0,1,2,32,0,5,0,0.6000000000000002,6.000000000000002,0,0,19
0,3,2,32,0,5,0,0.6000000000000002,6.000000000000002,0,0,13
0,0,2,32,1,6,0,1.1999999999999984,17.999999999999982,0,1,10
0,2,2,32,0,5,0,0.6000000000000006,6.000000000000006,1,1,19
0,0,2,33,0,7,0,1.6999999999999984,16.999999999999982,1,1,10
0,3,2,33,0,5,0,0.5000000000000002,5.000000000000002,0,0,13
0,2,2,33,0,5,0,0.5000000000000007,5.000000000000006,0,0,19
0,1,2,33,0,5,0,0.5000000000000002,5.000000000000002,0,0,19
0,2,2,34,0,5,0,0.4000000000000007,4.000000000000006,0,0,19
0,1,2,34,0,5,0,0.40000000000000024,4.000000000000002,0,0,19
0,0,2,34,0,7,0,1.5999999999999983,15.999999999999982,0,0,10
0,3,2,34,0,5,0,0.40000000000000024,4.000000000000002,0,0,13
0,0,2,35,1,7,0,1.4999999999999982,20.999999999999982,0,1,10
0,1,2,35,1,5,0,0.30000000000000027,9.000000000000002,0,1,20
0,2,2,35,0,5,0,0.3000000000000007,3.000000000000007,0,0,20
0,3,2,35,0,5,0,0.30000000000000027,3.0000000000000027,0,0,14
0,3,2,36,0,5,0,0.20000000000000026,2.0000000000000027,0,0,14
0,0,2,36,0,8,0,1.9999999999999982,19.999999999999982,1,1,10
0,2,2,36,0,5,0,0.2000000000000007,2.000000000000007,0,0,20
0,1,2,36,0,6,0,0.8000000000000003,8.000000000000002,1,1,20
0,1,2,37,0,6,0,0.7000000000000003,7.000000000000003,0,0,20
0,3,2,37,0,5,0,0.10000000000000026,1.0000000000000024,0,0,14
0,2,2,37,0,5,0,0.1000000000000007,1.0000000000000069,0,0,21
0,0,2,37,0,8,0,1.8999999999999981,18.99999999999998,0,0,10
0,2,2,38,0,5,0,6.938893903907228e-16,6.938893903907228e-15,0,0,21
0,3,2,38,1,5,0,2.498001805406602e-16,6.000000000000002,0,1,14
0,0,2,38,0,8,0,1.799999999999998,17.99999999999998,0,0,10
0,1,2,38,0,6,0,0.6000000000000003,6.000000000000003,0,0,20
0,0,2,39,0,8,0,1.699999999999998,16.99999999999998,0,0,10
0,1,2,39,0,6,0,0.5000000000000003,5.000000000000003,0,0,20
0,2,2,39,0,5,0,0,0,2,-1.2,22
0,1,3,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,3,3,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,0,3,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,2,3,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,0,3,2,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,3,3,2,1,0,0,0.6000000000000001,12.000000000000002,0,1,1
0,1,3,2,0,0,0,0.6000000000000001,6.000000000000001,0,0,2
