day,baseline,maximin
1,0.0,0.0
2,0.256,0.347
3,1.0195,1.3299999999999998
4,1.6615000000000002,2.0635000000000003
5,2.2920000000000003,2.832
6,3.1265,3.843
7,4.1745,4.712999999999999
8,5.2885,5.634499999999999
9,6.112500000000001,6.560499999999999
10,6.634686407856696,7.313677797173227
11,7.318637859915357,8.161310888282763
12,8.227432218338286,9.13103205471289
13,9.307014556468896,10.06785313629926
14,10.320305930390441,10.920045426307325
15,11.134429371038427,11.809077727606908
16,11.650232004493875,12.634414978016105
17,12.323244403551236,13.512034845608651
18,13.265379498529574,14.434711969358693
19,14.28289438541574,15.34152692995009
20,15.201143672848174,16.194401944644426
21,15.983547582820265,17.043090968897786
22,16.480098654369442,17.901608637104204
23,17.11103000493411,18.83991835168996
24,18.0684356305198,19.707337534540777
25,19.059057630741357,20.562821839830004
26,19.87552236022972,21.393156341160502
27,20.61892293627565,22.240507138131505
28,21.15267223871722,23.083038120512374
29,21.78188235433927,23.939344310202255
30,22.693289295398483,24.792151152119917
31,23.607879250334086,25.613248315628347
32,24.42615440494235,26.45033757707705
33,25.15806819991291,27.252999022827364
34,25.682130570362872,28.129102433419646
35,26.281094171676173,28.939192249392356
36,27.17221944973071,29.734400982393083
37,28.083715193070848,30.49818095814176
38,28.879603159225706,31.27521690256745
39,29.606107787984726,32.08135492273708
40,30.1282655609678,32.93808753798454
41,30.71234793403762,33.703151174088674
42,31.5902118922554,34.419916603361294
43,32.4914771388706,35.15162469748506
44,33.24612693535021,35.890760287753814
45,33.97954162490021,36.714170803829276
46,34.53847177001017,37.53183438906758
47,35.10518765451177,38.2520305406119
48,35.88331795119984,38.96233128333833
49,36.73160830954228,39.67109430789979
50,37.47315536528955,40.356348764409425
