day,baseline,maximin
1,0.0,0.0
2,0.1205,0.152
3,0.501,0.507
4,0.8,0.7125
5,1.0505,0.887
6,1.272,1.0955
7,1.491,1.285
8,1.795,1.6015
9,2.1555,1.8955
10,2.3817448310640446,2.1153262518968132
11,2.607160867372668,2.3469903894790085
12,2.8562783661119515,2.580171977744057
13,3.1114473020675746,2.83055134041477
14,3.4326777609682297,3.108750632271118
15,3.7801311144730207,3.3763277693474962
16,3.9635258358662613,3.591463414634146
17,4.184397163120567,3.8272357723577235
18,4.437183383991894,4.071646341463414
19,4.712765957446808,4.337398373983739
20,5.012664640324215,4.619410569105691
21,5.3274201723264065,4.870229007633588
22,5.482688391038696,5.0846075433231395
23,5.673625254582484,5.320081549439347
24,5.919551934826884,5.563200815494393
25,6.167515274949084,5.827726809378185
26,6.4317718940936865,6.081549439347604
27,6.704591836734694,6.326364099949005
28,6.867827868852459,6.534456355283308
29,7.059426229508197,6.76059213884635
30,7.293545081967213,7.009188361408882
31,7.514856557377049,7.239918325676365
32,7.758196721311475,7.474221541602859
33,8.023686920700309,7.69034236075626
34,8.16287487073423,7.907369498464687
35,8.338676318510858,8.11412487205732
36,8.554808686659772,8.34288638689867
37,8.756980351602895,8.548618219037872
38,8.96018614270941,8.764073694984647
39,9.182432432432432,8.965110312981016
40,9.31230448383733,9.175987685992817
41,9.47497393117831,9.377116469984607
42,9.690302398331596,9.571575166752181
43,9.885297184567257,9.776808619805028
44,10.078727841501564,9.977424320164186
45,10.309360126916975,10.165896250642014
46,10.441020191285865,10.3573264781491
47,10.58979808714134,10.539331619537275
48,10.76461211477152,10.734704370179948
49,10.935175345377258,10.919794344473008
50,11.11317747077577,11.097686375321336
