day,baseline,rawlsian
1,29.03551775887944,28.903451725862933
2,28.157000000000004,28.067
3,28.966000000000005,28.783
4,29.781000000000002,29.61
5,30.161,29.948000000000004
6,30.193000000000005,29.788000000000004
7,29.964000000000006,29.508000000000003
8,29.738000000000003,29.543000000000006
9,29.617668402407112,29.7825538099637
10,31.174951581665592,31.86924616410941
11,31.50161394448031,32.052034689793196
12,31.74306003873467,32.006671114076056
13,31.876049063912205,31.961307538358906
14,31.865719819238222,32.22414943295531
15,31.993910900539007,32.51103956171186
16,33.93115318416523,34.578527062999115
17,34.28915662650603,34.52351375332742
18,34.35800344234079,34.308784383318546
19,34.555938037865744,34.30700976042591
20,34.432963706665234,34.294973259941955
21,34.920859493025304,34.74095302427583
22,37.055367231638414,36.80771111973149
23,37.374011299435026,36.64056939501779
24,37.44180790960452,36.87544483985765
25,37.42824858757062,36.66192170818505
26,37.67163587353917,36.56971792815978
27,37.85055224374946,36.98878886861807
28,39.46778711484593,38.91419656786271
29,39.77871148459383,38.808112324492974
30,39.89635854341736,38.74882995319812
31,39.99719887955181,38.4368174726989
32,40.04820916083179,38.46254830659004
33,40.29360776385922,39.12596581235453
34,42.1017543859649,40.8198757763975
35,42.207017543859635,40.80745341614905
36,42.385964912280684,40.298136645962714
37,42.385964912280684,39.987577639751535
38,41.902485488842046,39.9699944466636
39,42.33189351526734,40.19815502553352
40,44.20479302832242,41.49999999999998
41,44.374727668845296,41.68333333333331
42,44.28322440087145,41.616666666666646
43,44.2701525054466,41.28333333333331
44,44.04001099828421,40.61749854924426
45,44.555238694625416,41.01756902295499
46,45.57412398921831,42.59574468085104
47,46.21563342318056,42.40425531914891
48,46.485175202156306,42.04255319148933
49,46.83557951482477,42.04255319148933
50,46.60035044759513,41.81282704669479
