,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,reward,num_norms,count
0,1,0,0.0655327663831916,0.0,0.0,0.7000000000000001,7.393196598299149,0.05632816408204102,1.0,1999
1,1,1,0.029514757378689346,0.0,0.0,0.7000000000000001,7.177088544272136,0.02191095547773887,1.0,1999
2,1,2,0.04652326163081541,0.0,0.0,0.7000000000000001,7.279139569784893,0.03821910955477739,1.0,1999
3,1,3,0.031015507753876938,0.0,0.0,0.7000000000000001,7.186093046523261,0.022011005502751375,1.0,1999
4,2,0,0.2045,0.023,0.062,0.6138500000000001,7.365500000000001,0.2263,1.36,2000
5,2,1,0.0995,0.0675,0.0205,0.6405500000000001,7.002500000000001,0.11045,1.3625,2000
6,2,2,0.134,0.0395,0.0105,0.6237500000000001,7.041500000000001,0.16535,1.365,2000
7,2,3,0.083,0.0415,0.001,0.62495,6.7475000000000005,0.1055,1.384,2000
8,3,0,0.281,0.1045,0.237,0.5627500000000001,7.313500000000001,0.38480000000000003,1.957,2000
9,3,1,0.1585,0.2695,0.0735,0.6617500000000001,7.5685,0.2206,1.953,2000
10,3,2,0.21,0.144,0.0555,0.5864500000000001,7.124500000000001,0.31039999999999995,1.9795,2000
11,3,3,0.157,0.1695,0.018,0.6017500000000001,6.959500000000001,0.22340000000000002,2.0085,2000
12,4,0,0.43,0.1745,0.252,0.50475,7.6275,0.2392,2.9185,2000
13,4,1,0.246,0.379,0.0845,0.6274500000000001,7.7505,0.2699,2.859,2000
14,4,2,0.244,0.3165,0.06,0.5899500000000001,7.3635,0.36035,2.949,2000
15,4,3,0.224,0.2825,0.0265,0.5695500000000001,7.0395,0.28775,2.97,2000
16,5,0,0.4175,0.365,0.2775,0.5190500000000001,7.6955,0.32525,3.7055,2000
17,5,1,0.2945,0.519,0.101,0.61145,7.8815,0.26485000000000003,3.576,2000
18,5,2,0.256,0.4925,0.068,0.59555,7.4915,0.3405,3.6975,2000
19,5,3,0.2415,0.4405,0.0345,0.56435,7.092500000000001,0.3165,3.7295,2000
20,6,0,0.2915,0.6535,0.306,0.5921500000000001,7.6705000000000005,0.39565,4.2975,2000
21,6,1,0.312,0.6615,0.1305,0.5969500000000001,7.841500000000001,0.25925,4.096,2000
22,6,2,0.289,0.631,0.0825,0.5786500000000001,7.520500000000001,0.29085,4.192,2000
23,6,3,0.281,0.579,0.0465,0.54745,7.160500000000001,0.2711,4.247,2000
24,7,0,0.1845,0.9125,0.3535,0.6475500000000001,7.582500000000001,0.38705,4.791,2000
25,7,1,0.3055,0.824,0.167,0.59445,7.777500000000001,0.24115,4.496,2000
26,7,2,0.217,0.8555,0.1095,0.6133500000000002,7.435500000000001,0.38130000000000003,4.6585,2000
27,7,3,0.24,0.788,0.0615,0.5728500000000001,7.168500000000001,0.3255,4.691,2000
28,8,0,0.178,1.0495,0.44,0.6297500000000001,7.365500000000001,0.29475,5.2695,2000
29,8,1,0.281,1.027,0.2095,0.61625,7.8485,0.26365,4.9785,2000
30,8,2,0.181,1.041,0.1485,0.62465,7.332500000000001,0.3504,5.148,2000
31,8,3,0.1565,1.042,0.078,0.6252500000000001,7.191500000000001,0.34775,5.2005,2000
32,9,0,0.1956521739130435,1.173913043478261,0.5824972129319955,0.6079152731326645,7.2491638795986635,0.2528428093645485,5.914158305462653,1794
33,9,1,0.15631808278867101,1.3246187363834423,0.2766884531590414,0.7040849673202615,7.924291938997821,0.25043572984749457,5.654139433551198,1836
34,9,2,0.1709873138444567,1.199669056811914,0.2029784886927744,0.6238830667402097,7.2426916712631,0.27280750137892995,5.788196359624931,1813
35,9,3,0.12547528517110265,1.2324823465507877,0.10700706137968495,0.6474198804997284,7.201520912547529,0.144541010320478,5.82509505703422,1841
36,10,0,0.3331181407359587,1.287927695287282,0.6630083925112976,0.5728211749515818,7.7269205939315695,0.26132989025177533,6.6914138153647515,1549
