day,baseline,rawlsian
8,11.347826086956522,8.181818181818182
9,16.913265306122447,14.104166666666666
14,14.0,8.285714285714283
15,25.63358778625954,9.6875
19,16.599999999999994,8.499999999999993
20,26.117647058823522,11.999999999999998
21,36.93548387096774,8.5
25,25.0,21.571428571428555
26,39.647058823529406,31.63636363636363
27,41.31999999999999,44.0
31,18.99999999999999,22.999999999999986
32,43.349999999999994,33.89999999999999
33,43.49999999999999,16.199999999999996
37,15.399999999999988,26.666666666666647
38,42.35999999999999,39.39130434782608
39,44.199999999999996,0.0
44,50.90322580645162,39.37499999999998
45,41.0,
49,43.00000000000001,33.28571428571429
50,60.74157303370789,53.46917040358746
43,,28.599999999999984
