day,baseline,rawlsian
1.0,7.138069034517259,7.159079539769885
2.0,6.828500000000001,6.651500000000001
3.0,6.293500000000001,6.323500000000001
4.0,6.568500000000001,6.421500000000001
5.0,6.609500000000001,6.498500000000001
6.0,6.536500000000002,6.5455000000000005
7.0,6.271500000000001,6.325500000000001
8.0,5.826500000000002,6.099500000000001
9.0,5.408094435075887,5.9066232356134645
10.0,5.394975575715284,6.187915006640107
11.0,5.454291695743198,6.251660026560426
12.0,5.626657362177252,6.191899070385127
13.0,5.543614794138174,6.116201859229749
14.0,5.397766922540128,5.932934926958833
15.0,5.234567901234569,5.76906779661017
16.0,5.7233820459290214,6.198919891989201
17.0,5.764890282131664,6.225022502250226
18.0,5.849529780564266,6.197119711971199
19.0,5.6833855799373065,6.093609360936096
20.0,5.4848167539267045,6.033363390441842
21.0,5.310794780545672,5.785163776493258
22.0,5.835403726708078,6.550795593635253
23.0,5.795031055900624,6.433823529411767
24.0,5.8291925465838546,6.455882352941178
25.0,5.87267080745342,6.500000000000003
26.0,5.663026521060846,6.361623616236165
27.0,5.244328097731242,6.228346456692916
28.0,5.697624190064799,6.824088748019019
29.0,5.760259179265662,6.613312202852618
30.0,5.70626349892009,6.545166402535661
31.0,5.652267818574518,6.45800316957211
32.0,5.466377440347076,6.287539936102238
33.0,5.134883720930237,6.234401349072514
34.0,5.688622754491022,6.809034907597538
35.0,5.730538922155693,6.782340862423
36.0,5.790419161676652,6.780287474332651
37.0,5.742514970059885,6.618069815195074
38.0,5.711711711711716,6.261954261954264
39.0,5.188925081433229,6.397321428571431
40.0,5.5590551181102414,7.409836065573772
41.0,5.740157480314966,7.229508196721314
42.0,5.732283464566935,7.016393442622953
43.0,5.771653543307092,6.836065573770495
44.0,5.280000000000006,6.885793871866298
45.0,4.957805907173,6.782738095238097
46.0,5.442622950819678,7.359154929577467
47.0,5.491803278688531,7.267605633802819
48.0,5.770491803278695,7.345070422535213
49.0,5.754098360655744,7.211267605633805
50.0,5.43016759776537,7.024911032028472
