day,baseline,rawlsian
1,7.86743371685843,7.831415707853927
2,8.241500000000002,8.082500000000001
3,9.1555,10.3855
4,9.5775,10.4265
5,9.6755,10.2875
6,9.6775,10.2505
7,9.9135,10.4655
8,10.5755,11.229499999999998
9,11.400916963830872,12.592783505154637
10,11.972002113048072,12.681043663471776
11,12.433174854727945,12.610756123535674
12,13.100369783412571,12.53088391906283
13,13.900686740623348,12.776890308839189
14,14.84363444268357,13.54046858359957
15,15.706427015250542,14.87201735357917
16,16.315640880858272,14.860724233983284
17,16.931677018633536,14.746518105849578
18,17.662902315076224,14.625626740947071
19,18.48560135516657,14.782172701949854
20,19.47419171866137,15.529575892857137
21,20.353721869590302,16.65114942528735
22,20.901300236406616,16.60622065727699
23,21.507683215130015,16.43368544600938
24,22.316193853427887,16.41960093896713
25,23.248817966903065,16.5181924882629
26,24.189205219454323,17.22754137115838
27,24.849056603773576,18.381873111782465
28,25.351168511685106,18.260358688930108
29,26.04120541205411,18.176870748299308
30,26.993234932349313,18.030303030303017
31,27.80135301353012,18.076685219542348
32,28.393676379417222,18.552173913043465
33,29.08448928121058,19.60524632117721
34,29.57270980140934,19.51275343361673
35,30.313901345291466,19.438848920863293
36,30.916720051249186,19.294310006540204
37,31.53875720691863,19.334205362982324
38,32.30654569021385,19.820394736842086
39,32.95149501661128,20.885656292286853
40,33.24358974358973,20.53999999999998
41,33.97233468286098,20.388275862068944
42,34.55937921727394,20.282068965517222
43,35.25168690958163,20.213103448275838
44,35.580932784636474,20.676655052264785
45,35.87482319660536,21.306859205776153
46,36.35416666666665,21.02787967718266
47,36.9015804597701,21.022743947175325
48,37.60847701149424,20.837123991195867
49,37.953304597701134,20.849596478356542
50,38.59642591213699,21.22602230483269
