,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,reward,num_norms,total_berries,count
0,8,0,1.086021505376344,1.2437275985663083,0.025089605734767026,0.746236559139785,13.978494623655914,0.578494623655914,4.329749103942652,2.3297491039426523,279
1,8,1,0.28,0.044,0.0,0.026400000000000135,1.9440000000000013,-0.128,3.024,0.324,250
2,9,0,1.0040650406504066,1.6117886178861789,0.032520325203252036,0.8829268292682927,14.782520325203253,0.44430894308943086,4.833333333333333,2.6158536585365852,492
3,9,1,0.34204545454545454,0.03295454545454545,0.0,0.018977272727272728,1.9988636363636363,-1.1381818181818182,3.243181818181818,0.375,880
4,10,1,0.0,0.0,0.0,0.0,0.0,-1.2,2.0,0.0,1
5,14,0,1.2197802197802199,2.6923076923076925,0.8681318681318682,1.0153846153846153,17.47252747252747,0.5560439560439561,7.197802197802198,3.912087912087912,91
6,14,1,0.2,1.011111111111111,0.0,0.006666666666666841,1.2666666666666682,-0.1577777777777778,3.988888888888889,1.211111111111111,90
7,15,0,0.925,3.04375,0.825,1.14,16.918749999999996,0.39875000000000005,7.4,3.96875,160
8,15,1,0.24918032786885247,1.0295081967213116,0.003278688524590164,0.01639344262295082,1.4590163934426232,-1.1318032786885246,4.0131147540983605,1.278688524590164,305
9,19,0,0.7142857142857143,4.285714285714286,1.0,1.4714285714285713,19.0,0.05714285714285715,10.285714285714286,5.0,7
10,19,1,0.0,2.0,0.0,0.1000000000000001,1.000000000000001,-0.2,5.0,2.0,1
11,20,0,1.2653061224489797,3.6122448979591835,1.6938775510204083,0.9673469387755099,17.265306122448976,0.42040816326530617,8.183673469387756,4.877551020408164,49
12,20,1,0.2391304347826087,2.0217391304347827,0.021739130434782608,0.013043478260869741,1.5652173913043494,-0.3695652173913043,4.586956521739131,2.260869565217391,46
13,21,0,0.6140350877192983,4.105263157894737,1.8245614035087718,1.1684210526315786,15.350877192982452,0.3719298245614035,8.701754385964913,4.719298245614035,57
14,21,1,0.11290322580645161,2.0080645161290325,0.008064516129032258,0.004838709677419355,0.620967741935484,-1.1596774193548385,4.225806451612903,2.120967741935484,124
15,25,0,3.6,4.4,2.4,0.9399999999999995,30.99999999999999,-0.16,9.6,8.0,5
16,25,1,0.0,3.0,0.0,0.09999999999999984,0.9999999999999988,-0.08888888888888889,5.0,3.0,9
17,26,0,1.5476190476190477,4.642857142857143,2.761904761904762,0.9857142857142852,19.14285714285714,0.22380952380952382,10.214285714285714,6.190476190476191,42
18,26,1,0.1951219512195122,3.0,0.0,1.4622449592624014e-16,1.1707317073170744,-0.5756097560975609,4.951219512195122,3.1951219512195124,41
19,27,0,0.6764705882352942,5.794117647058823,2.735294117647059,1.5823529411764696,19.882352941176464,0.29411764705882354,10.882352941176471,6.470588235294118,34
20,27,1,0.16883116883116883,3.038961038961039,0.012987012987012988,0.023376623376623374,1.1298701298701301,-1.1584415584415584,4.740259740259741,3.207792207792208,77
21,31,0,0.8333333333333334,5.666666666666667,3.6666666666666665,1.0999999999999988,15.999999999999988,0.10000000000000002,13.0,6.5,6
22,31,1,0.2,4.0,0.0,0.09999999999999973,2.1999999999999975,-0.16,6.4,4.2,5
23,32,0,0.7,6.733333333333333,3.5,1.6399999999999992,20.599999999999987,0.07333333333333332,12.866666666666667,7.433333333333334,30
24,32,1,0.17647058823529413,4.0,0.029411764705882353,1.6326809185664068e-16,1.058823529411766,-0.6705882352941177,5.617647058823529,4.176470588235294,34
25,33,0,0.59375,6.8125,3.78125,1.5874999999999986,19.437499999999986,0.26875,11.78125,7.40625,32
26,33,1,0.20634920634920634,4.015873015873016,0.0,0.009523809523809523,1.1904761904761907,-1.1555555555555554,4.936507936507937,4.222222222222222,63
27,37,0,0.0,5.333333333333333,3.0,0.29999999999999827,2.9999999999999827,-0.20000000000000004,12.666666666666666,5.333333333333333,3
28,37,1,0.0,5.0,0.3333333333333333,0.09999999999999966,0.9999999999999969,-0.13333333333333333,7.0,5.0,3
29,38,0,1.2222222222222223,8.0,4.777777777777778,1.7999999999999987,25.333333333333318,0.35555555555555557,13.88888888888889,9.222222222222221,18
30,38,1,0.08,5.04,0.04,0.024000000000000195,0.720000000000002,-0.512,5.48,5.12,25
31,39,0,0.15384615384615385,8.5,4.615384615384615,1.9999999999999984,20.923076923076906,-0.04615384615384616,14.384615384615385,8.653846153846153,26
32,39,1,0.24528301886792453,5.056603773584905,0.0,0.033962264150943396,1.6603773584905663,-1.1433962264150943,5.490566037735849,5.30188679245283,53
33,43,0,1.5,8.666666666666666,5.333333333333333,1.6999999999999982,25.999999999999975,-0.20000000000000004,15.333333333333334,10.166666666666666,6
34,44,0,0.8461538461538461,8.76923076923077,5.153846153846154,1.6615384615384603,21.692307692307676,-0.2769230769230769,14.692307692307692,9.615384615384615,13
35,44,1,0.14285714285714285,6.0,0.0,1.4670804253975283e-16,0.8571428571428578,-0.6857142857142857,6.214285714285714,6.142857142857143,14
36,45,0,0.6153846153846154,10.0,5.6923076923076925,2.2999999999999976,26.692307692307665,0.46153846153846156,15.538461538461538,10.615384615384615,13
37,45,1,0.125,6.0,0.0,0.0,0.666666666666667,-1.1666666666666667,6.0,6.125,24
38,49,0,2.5,10.0,7.0,1.9,34.0,-0.2,21.0,12.5,2
39,49,1,0.0,7.0,0.0,0.1000000000000008,1.000000000000008,-0.2,5.0,7.0,1
40,50,0,1.3945578231292517,11.772108843537415,8.173469387755102,2.8632653061224467,36.99999999999998,1.60578231292517,17.952380952380953,13.166666666666666,294
