day,baseline,rawlsian
8,0.3779085786525047,0.3300276752767526
9,0.380888033970173,0.40059502975148753
10,0.0,
14,0.432405488877595,0.12547288776796983
15,0.420609699666048,0.28806518170120254
19,0.44999999999999973,2.220446049250313e-16
20,0.4168787107718406,0.20218026522814125
21,0.4611211012587586,0.24959331351321068
25,0.46875,0.09868421052631593
26,0.44236706689536875,0.23809523809523814
27,0.44622795855299024,0.043265768083136535
31,0.3791208791208791,0.21475680131904396
32,0.45111352525801185,0.21945259042033238
33,0.4422882700908959,0.01743532058492714
37,0.24999999999999933,0.22869955156950716
38,0.4723643807574205,0.18399168399168442
39,0.42647814910025716,0.1128599134715802
43,-0.5,0.18347639484978573
44,0.4619883040935673,0.14763953929882345
45,0.47563261480787244,0.08645867905741844
49,0.4714285714285713,0.16810344827586232
50,0.2850823563259728,0.006611929922925697
