day,baseline,rawlsian
1,30.122061030515255,30.044022011005502
2,31.517000000000003,31.622000000000007
3,34.003,33.967
4,35.304,35.135999999999996
5,36.179,35.951
6,36.85,36.574000000000005
7,37.269,37.332
8,38.099,38.681
9,39.179112139417775,39.97784078205827
10,40.87691494981511,41.574014909478166
11,41.98943475964078,42.43024494142704
12,43.03539355520337,43.187433439829604
13,43.80559957739038,43.99254526091586
14,44.861067089276276,45.34398296059637
15,46.06222047047632,46.28057478485415
16,47.92998306041784,47.67688022284122
17,49.127046866177295,48.433426183844006
18,50.086956521739125,48.9225626740947
19,51.25352907961603,49.55877437325904
20,52.092405365358644,50.606044185051175
21,53.162206279284426,51.579462896183585
22,54.94562647754135,52.68544600938965
23,56.005910165484615,53.505868544600915
24,56.973995271867594,53.75586854460092
25,58.009456264775395,54.35798122065725
26,58.94347084134867,55.11963612349854
27,60.127047466745836,55.91874798468521
28,61.25707257072568,56.63698206555347
29,62.434194341943396,57.07111935683362
30,63.22386223862236,57.41620284477424
31,63.998769987699845,57.586889301174985
32,65.09211641867351,57.941412655416414
33,65.90116407360642,58.6072756767183
34,67.0390775144138,59.41137998691952
35,67.88981422165276,59.91236102027465
36,68.61755285073667,59.87181164159577
37,69.27610506085838,60.058862001308
38,70.16757310670991,60.45870364087503
39,71.20149125234252,61.075242774793416
40,72.02294197031036,61.553103448275806
41,72.9095816464237,61.902068965517195
42,73.26585695006744,61.84137931034478
43,73.88124156545206,61.838620689655116
44,74.15881614658753,61.93890526554614
45,74.99975885932176,62.482422265616634
46,75.88218390804593,63.02567865003662
47,76.42097701149422,63.17681584739539
48,76.75287356321834,62.958180484225906
49,77.20977011494247,62.994864269992604
50,77.46818441104176,63.185253521804796
