,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
5979,2,35,50,0,8,4,0.6000000000000001,6.000000000000001,1,0.8,27,8
5980,1,35,50,0,10,5,1.799999999999998,17.99999999999998,2,0.8,29,10
6179,2,36,50,1,9,4,1.1999999999999984,17.999999999999982,0,2.0,26,10
6180,0,36,50,1,8,5,0.6000000000000001,12.000000000000002,0,2.0,27,9
6379,0,37,50,0,8,11,0.6000000000000001,6.000000000000001,0,1.0,34,8
6380,2,37,50,1,8,3,0.6000000000000001,12.000000000000002,0,2.0,27,9
6579,0,38,50,1,9,5,1.1999999999999995,17.999999999999996,0,2.0,31,10
6580,3,38,50,0,14,3,4.199999999999998,41.99999999999998,0,1.0,30,14
6779,3,39,50,0,14,4,4.199999999999999,41.99999999999999,0,1.0,26,14
6780,2,39,50,1,9,6,1.199999999999998,17.99999999999998,0,2.0,29,10
6979,0,40,50,0,9,5,1.2000000000000002,12.000000000000002,2,1.5,33,9
6980,3,40,50,0,13,3,3.599999999999998,35.99999999999998,0,1.0,26,13
7179,0,41,50,0,9,8,1.1999999999999984,11.999999999999984,4,0.8,26,9
7180,3,41,50,1,13,6,3.599999999999997,41.999999999999964,0,1.0,23,14
7379,2,42,50,0,8,7,0.5999999999999986,5.999999999999986,2,0.8,34,8
7380,3,42,50,0,16,5,5.400000000000003,54.00000000000003,0,1.0,28,16
7533,1,43,39,0,7,4,1.0999999999999983,10.999999999999982,2,0.5,19,7
7534,2,43,39,0,5,2,0.0,0.0,1,-1.2,21,5
7733,3,44,50,0,14,3,4.199999999999998,41.99999999999998,4,0.8,30,14
7734,1,44,50,0,8,3,0.5999999999999998,5.999999999999997,0,1.0,33,8
7933,0,45,50,1,9,8,1.1999999999999984,17.999999999999982,0,2.0,29,10
7934,2,45,50,0,9,6,1.1999999999999975,11.999999999999975,3,0.8,28,9
8133,3,46,50,0,15,5,4.799999999999999,47.99999999999999,0,1.0,24,15
8134,1,46,50,0,8,9,0.6000000000000001,6.000000000000001,4,1.5,31,8
8333,0,47,50,0,10,9,1.799999999999998,17.99999999999998,1,0.8,22,10
8334,1,47,50,0,8,5,0.5999999999999973,5.9999999999999725,0,1.0,26,8
8533,2,48,50,0,10,5,1.7999999999999985,17.999999999999982,0,1.0,32,10
8534,3,48,50,0,13,4,3.599999999999997,35.99999999999997,1,2.0,24,13
8733,0,49,50,1,8,11,0.599999999999998,11.99999999999998,0,2.0,31,9
8734,2,49,50,0,7,7,0.0,0.0,1,-0.1999999999999999,34,7
8933,3,50,50,0,16,4,5.400000000000001,54.00000000000001,2,0.8,32,16
8934,2,50,50,0,8,4,0.5999999999999986,5.999999999999986,3,0.8,34,8
9133,3,51,50,1,14,3,4.1999999999999975,47.99999999999997,0,2.0,25,15
9134,1,51,50,0,9,4,1.199999999999998,11.99999999999998,4,1.5,23,9
9333,0,52,50,1,8,7,0.6000000000000005,12.000000000000004,0,2.0,36,9
9334,2,52,50,0,9,3,1.1999999999999995,11.999999999999996,3,0.8,29,9
9533,2,53,50,0,10,8,1.799999999999998,17.99999999999998,0,1.0,31,10
9534,3,53,50,1,13,3,3.5999999999999983,41.99999999999998,0,2.0,26,14
9567,3,54,9,0,3,0,1.6999999999999995,16.999999999999996,0,0.0,6,3
9568,0,54,9,1,0,0,0.0,5.000000000000001,0,-1.0,8,1
9602,0,55,9,0,1,1,0.5000000000000001,5.000000000000001,0,0.0,7,1
9603,2,55,9,0,0,1,0.0,0.0,0,-1.0,7,0
9757,0,56,39,1,7,5,1.0999999999999992,16.999999999999993,0,1.0,25,8
9758,1,56,39,1,5,4,0.0,5.000000000000005,4,-1.2,24,6
9841,2,57,21,0,5,3,1.6999999999999993,16.999999999999993,0,0.0,14,5
9842,1,57,21,1,2,1,0.0,5.000000000000002,0,-1.0,16,3
10041,0,58,50,0,9,8,1.1999999999999988,11.999999999999988,0,1.0,33,9
