,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
6334,3,39,50,0,11,0,2.3999999999999986,23.999999999999982,0,1.0,26,11
6532,0,40,50,0,8,3,0.6000000000000008,6.000000000000007,0,1.0,33,8
6533,1,40,50,0,7,0,0.0,0.0,0,0.0,32,7
6732,3,41,50,1,10,1,1.7999999999999967,23.999999999999968,0,1.8,24,11
6733,0,41,50,0,8,4,0.600000000000001,6.00000000000001,4,1.1,24,8
6932,0,42,50,0,8,5,0.6000000000000006,6.000000000000006,0,1.0,23,8
6933,1,42,50,0,8,0,0.6000000000000005,6.000000000000005,1,0.9,26,8
7129,0,43,49,1,7,3,0.1000000000000005,7.000000000000006,0,0.8,21,8
7130,1,43,50,1,7,0,0.0,5.9999999999999885,0,1.2000000000000002,25,8
7210,1,44,20,0,4,0,1.1999999999999995,11.999999999999996,0,0.0,11,4
7211,0,44,21,1,2,1,0.0,5.000000000000003,0,0.2,15,3
7410,1,45,50,0,10,1,1.7999999999999976,17.999999999999975,0,1.0,28,10
7411,0,45,50,1,7,3,5.828670879282072e-16,6.000000000000005,0,2.2,25,8
7610,2,46,50,1,10,0,1.7999999999999967,23.999999999999968,0,1.8,28,11
7611,1,46,50,0,9,0,1.1999999999999982,11.99999999999998,3,0.9,33,9
7766,3,47,39,0,9,3,2.2999999999999976,22.99999999999997,0,0.0,23,9
7767,1,47,39,1,5,1,0.0,5.000000000000001,2,-1.5,19,6
7849,3,48,21,0,4,2,1.0999999999999992,10.999999999999991,3,-0.1,15,4
7850,0,48,21,0,2,2,0.0,0.0,2,-1.1,11,2
8049,2,49,50,0,11,1,2.3999999999999977,23.99999999999997,1,1.4,23,11
8050,1,49,50,0,9,0,1.1999999999999993,11.999999999999991,0,1.0,22,9
8249,1,50,50,0,9,0,1.1999999999999995,11.999999999999996,0,1.0,20,9
8250,0,50,50,1,8,3,0.6000000000000005,12.000000000000004,0,1.8,27,9
8330,2,51,20,0,6,0,2.399999999999999,23.99999999999999,1,0.4,13,6
8331,0,51,21,0,2,2,0.0,0.0,2,-1.1,16,2
8530,2,52,50,1,9,0,1.1999999999999962,17.99999999999996,0,1.8,26,10
8531,3,52,50,0,12,2,2.9999999999999973,29.99999999999997,3,0.9,27,12
8730,1,53,50,1,8,0,0.5999999999999976,11.999999999999975,0,1.8,20,9
8731,3,53,50,0,10,0,1.7999999999999972,17.99999999999997,0,1.0,20,10
8886,2,54,39,0,9,0,2.2999999999999976,22.99999999999997,1,0.4,19,9
8887,1,54,39,0,5,0,0.0,0.0,1,-1.1,28,5
9086,2,55,50,0,9,2,1.199999999999998,11.99999999999998,2,0.9,21,9
9087,1,55,50,1,8,0,0.5999999999999971,11.99999999999997,0,1.8,29,9
9286,3,56,50,0,10,1,1.7999999999999976,17.999999999999975,1,0.9,22,10
9287,2,56,50,0,10,0,1.7999999999999972,17.99999999999997,1,1.4,19,10
9344,3,57,15,0,5,0,2.299999999999999,22.99999999999999,3,-0.1,8,5
9345,0,57,15,1,1,2,0.0,5.000000000000002,0,0.2,9,2
9544,0,58,50,1,8,3,0.6000000000000011,12.00000000000001,0,2.2,16,9
9545,1,58,50,0,9,0,1.1999999999999973,11.999999999999972,0,1.0,23,9
9744,0,59,50,0,8,4,0.6000000000000011,6.000000000000011,0,1.0,22,8
9745,1,59,50,1,9,0,1.1999999999999975,17.999999999999975,0,1.8,28,10
9876,3,60,33,0,9,0,2.899999999999999,28.99999999999999,0,0.0,23,9
9877,1,60,33,0,4,1,0.0,0.0,1,-1.1,22,4
10076,3,61,50,0,10,3,1.7999999999999998,17.999999999999996,1,0.9,24,10
10077,1,61,50,1,10,0,1.799999999999998,23.99999999999998,0,1.8,25,11
10276,2,62,50,0,11,0,2.399999999999997,23.99999999999997,0,1.0,22,11
10277,3,62,50,0,10,1,1.7999999999999985,17.999999999999982,0,1.0,22,10
10476,3,63,50,1,10,2,1.7999999999999967,23.999999999999968,0,1.8,27,11
10477,0,63,50,0,8,5,0.6000000000000008,6.000000000000007,0,1.0,19,8
10676,0,64,50,0,8,4,0.6000000000000006,6.000000000000006,1,1.4,29,8
10677,1,64,50,0,7,0,2.498001805406602e-16,2.4980018054066026e-15,2,0.9,27,7
10876,3,65,50,0,11,1,2.399999999999997,23.99999999999997,1,0.9,29,11
10877,1,65,50,0,9,0,1.199999999999998,11.99999999999998,1,0.9,20,9
11006,2,66,33,0,7,0,1.6999999999999988,16.999999999999986,3,-0.1,16,7
11007,0,66,33,1,4,2,0.0,5.000000000000002,0,0.2,17,5
11205,0,67,50,0,8,4,0.600000000000001,6.00000000000001,0,1.0,20,8
11206,1,67,50,0,7,0,0.0,0.0,0,0.0,22,7
11405,1,68,50,0,10,0,1.7999999999999972,17.99999999999997,1,0.9,21,10
11406,0,68,50,0,8,3,0.6000000000000008,6.000000000000007,4,1.1,12,8
11605,0,69,50,0,8,1,0.6000000000000008,6.000000000000007,0,1.0,29,8
11606,2,69,50,1,10,0,1.7999999999999967,23.999999999999968,0,1.8,25,11
11805,0,70,50,1,8,5,0.6000000000000009,12.000000000000009,0,1.8,27,9
11806,2,70,50,0,12,0,2.999999999999997,29.999999999999968,1,1.4,23,12
