,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
31,3,1,9,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,0,0.0,5,0
32,3,1,10,1,0,0,0.0,5.000000000000001,0,-0.1999999999999999,5,1
185,2,2,39,0,8,0,1.6999999999999988,16.999999999999986,0,0.0,13,8
186,1,2,39,1,5,0,0.0,5.000000000000005,0,-0.1999999999999999,14,6
317,0,3,33,0,6,2,1.0999999999999996,10.999999999999996,0,0.0,17,6
318,1,3,33,0,4,0,0.0,0.0,3,-1.1,17,4
352,2,4,9,0,2,0,1.0999999999999996,10.999999999999996,0,0.0,4,2
353,3,4,9,1,0,0,0.0,5.000000000000001,0,-0.1999999999999999,6,1
552,1,5,50,0,9,0,1.199999999999998,11.99999999999998,1,1.8,19,9
553,0,5,50,1,9,2,1.1999999999999993,17.999999999999993,0,1.8,25,10
609,2,6,14,0,2,0,0.5999999999999998,5.999999999999997,0,0.0,7,2
610,1,6,15,0,1,0,0.0,0.0,0,-1.0,7,1
787,3,7,45,0,8,0,1.1000000000000003,11.000000000000004,1,0.8,21,8
788,1,7,45,1,6,0,0.0,5.000000000000006,0,-0.1999999999999999,19,7
821,0,8,9,0,1,0,0.5000000000000001,5.000000000000001,0,0.0,3,1
822,3,8,9,0,0,0,0.0,0.0,0,-1.0,4,0
928,0,9,27,1,4,1,0.4999999999999998,10.999999999999996,0,0.8,14,5
929,3,9,27,0,3,0,0.0,0.0,1,-1.1,19,3
1008,2,10,20,0,6,0,2.399999999999999,23.99999999999999,0,0.0,12,6
1009,1,10,20,1,2,1,0.0,5.999999999999997,0,-0.1999999999999999,15,3
1090,2,11,21,0,5,0,1.6999999999999995,16.999999999999996,1,0.8,9,5
1091,3,11,21,0,2,0,0.0,0.0,0,-1.0,10,2
1171,0,12,20,0,3,1,0.6000000000000001,6.000000000000001,0,0.0,10,3
1172,3,12,21,1,2,0,0.0,5.000000000000002,4,-1.1,14,3
1255,2,13,21,0,4,0,1.0999999999999996,10.999999999999996,0,0.0,9,4
1256,1,13,21,0,2,0,0.0,0.0,3,-1.1,13,2
1289,0,14,9,0,2,0,1.1,10.999999999999998,0,0.0,7,2
1290,3,14,9,1,0,0,0.0,5.000000000000001,0,-0.1999999999999999,8,1
1322,3,15,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,0,0.0,6,0
1323,3,15,9,0,0,0,0.0,0.0,0,-1.0,6,0
1404,0,16,21,0,3,1,0.5000000000000001,5.000000000000001,0,0.0,11,3
1405,1,16,21,1,2,0,0.0,5.000000000000001,0,-0.1999999999999999,12,3
1438,3,17,9,0,1,0,0.5000000000000001,5.000000000000001,1,0.8,5,1
1439,1,17,9,1,0,0,0.0,5.000000000000001,0,-0.1999999999999999,4,1
1474,0,18,9,0,1,1,0.5000000000000001,5.000000000000001,0,0.0,5,1
1475,1,18,9,1,0,0,0.0,5.000000000000001,0,-0.1999999999999999,7,1
1510,0,19,9,1,1,1,0.5,11.0,0,0.8,7,2
1511,1,19,9,1,0,0,0.0,5.000000000000001,0,-0.1999999999999999,8,1
1545,0,20,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,5,1
