,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
194,1,1,50,0,8,0,0.7000000000000003,7.000000000000003,0,1.0,18,8
195,3,1,50,0,8,0,0.7000000000000002,7.000000000000002,0,1.0,15,8
253,0,2,15,0,2,0,0.5000000000000001,5.000000000000001,0,0.0,6,2
254,3,2,15,1,1,0,0.0,5.000000000000001,0,0.0,8,2
310,1,3,14,0,3,0,1.2000000000000002,12.000000000000002,1,1.0,11,3
311,2,3,15,0,1,0,0.0,0.0,0,-1.0,13,1
345,0,4,9,1,1,0,0.5000000000000001,11.0,0,1.0,3,2
346,1,4,9,0,0,0,0.0,0.0,0,-1.0,6,0
380,3,5,9,1,1,0,0.5000000000000001,11.0,0,1.0,5,2
381,1,5,9,0,0,0,0.0,0.0,3,-1.2,8,0
414,0,6,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,8,1
415,1,6,9,0,0,0,0.0,0.0,4,-1.2,7,0
448,1,7,9,0,3,0,1.6999999999999995,16.999999999999996,1,1.0,4,3
449,2,7,9,1,0,1,0.0,5.000000000000001,0,0.0,6,1
625,2,8,44,0,6,2,6.938893903907228e-16,6.9388939039072276e-15,3,-0.2,31,6
626,1,8,45,0,6,1,0.0,0.0,1,-1.2,26,6
780,1,9,39,0,8,0,1.6999999999999993,16.999999999999993,1,1.0,16,8
781,2,9,39,1,5,0,0.0,5.000000000000002,0,0.0,21,6
839,3,10,15,0,2,0,0.5000000000000001,5.000000000000001,0,0.0,6,2
840,2,10,15,1,1,0,0.0,5.000000000000002,0,0.0,9,2
921,3,11,21,0,3,0,0.5000000000000003,5.000000000000003,0,0.0,13,3
922,2,11,21,1,2,0,0.0,5.000000000000002,4,-1.2,11,3
955,2,12,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,7,1
956,1,12,9,0,0,0,0.0,0.0,4,-1.2,6,0
990,3,13,9,0,1,0,0.5000000000000001,5.000000000000001,0,0.0,4,1
991,2,13,9,1,0,0,0.0,5.000000000000001,0,0.0,5,1
1048,1,14,15,0,3,0,1.0999999999999994,10.999999999999991,0,0.0,8,3
1049,2,14,15,1,1,1,0.0,5.000000000000002,0,0.0,9,2
1106,2,15,15,0,2,0,0.5000000000000002,5.000000000000002,1,1.0,6,2
1107,3,15,15,0,1,0,0.0,0.0,0,-1.0,6,1
1237,3,16,33,0,5,1,0.5000000000000001,5.000000000000001,3,0.5,17,5
1238,2,16,33,1,4,1,0.0,5.000000000000003,0,0.0,17,5
1342,3,17,26,0,3,0,4.718447854656915e-16,4.718447854656915e-15,0,0.0,15,3
1343,3,17,27,0,3,0,0.0,0.0,0,-1.0,15,3
1401,0,18,15,1,3,0,1.0999999999999994,16.999999999999993,0,1.0,9,4
1402,2,18,15,0,1,1,0.0,0.0,0,-1.0,10,1
1554,1,19,38,0,5,0,6.938893903907228e-16,6.9388939039072276e-15,0,0.0,16,5
1555,1,19,39,1,5,0,0.0,5.000000000000006,0,0.0,16,6
1754,0,20,50,0,11,0,2.399999999999998,23.99999999999998,1,2.0,20,11
1755,2,20,50,0,8,0,0.6000000000000006,6.000000000000006,1,2.0,25,8
1788,3,21,9,0,1,0,0.5000000000000001,5.000000000000001,1,1.0,6,1
1789,1,21,9,0,0,0,0.0,0.0,4,-1.2,7,0
1821,0,22,8,0,2,0,1.2,11.999999999999998,1,1.0,5,2
1822,1,22,9,0,0,0,0.0,0.0,4,-1.2,8,0
1928,1,23,27,0,5,0,1.0999999999999992,10.999999999999991,2,-0.2,14,5
1929,2,23,27,0,3,0,0.0,0.0,2,-1.2,18,3
1985,1,24,14,0,1,0,2.498001805406602e-16,2.4980018054066026e-15,0,0.0,8,1
1986,1,24,15,0,1,0,0.0,0.0,0,-1.0,8,1
2018,3,25,8,0,2,0,1.1999999999999995,11.999999999999996,0,0.0,5,2
2019,1,25,9,0,0,0,0.0,0.0,4,-1.2,8,0
2052,2,26,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,5,1
2053,1,26,9,0,0,0,0.0,0.0,4,-1.2,5,0
2109,3,27,14,0,1,0,1.3877787807814454e-16,1.3877787807814457e-15,0,0.0,11,1
2110,3,27,15,1,1,0,0.0,5.000000000000001,0,0.0,11,2
2143,2,28,9,1,1,0,0.5000000000000001,11.0,0,1.0,6,2
2144,1,28,9,0,0,0,0.0,0.0,4,-1.2,8,0
2251,0,29,27,0,5,1,1.0999999999999988,10.999999999999988,0,0.0,14,5
2252,2,29,27,1,3,1,0.0,5.000000000000003,0,0.0,16,4
2356,2,30,26,0,4,0,0.6000000000000004,6.000000000000004,1,1.0,15,4
2357,1,30,27,0,3,0,0.0,0.0,0,-1.0,13,3
2485,3,31,32,0,5,0,0.5999999999999999,5.999999999999998,0,0.0,12,5
2486,2,31,33,0,4,0,0.0,0.0,0,-1.0,17,4
2545,3,32,15,0,2,0,0.5000000000000001,5.000000000000001,1,1.0,12,2
2546,1,32,15,0,1,0,0.0,0.0,0,-1.0,10,1
2651,3,33,27,0,4,1,0.4999999999999998,4.999999999999997,2,-0.2,15,4
2652,2,33,27,1,3,0,0.0,5.000000000000003,0,0.0,17,4
2687,3,34,9,0,1,0,0.5000000000000001,5.000000000000001,1,1.0,5,1
2688,1,34,9,0,0,0,0.0,0.0,0,-1.0,6,0
2747,0,35,15,0,4,0,1.6999999999999993,16.999999999999993,0,0.0,6,4
2748,1,35,15,0,1,0,0.0,0.0,0,-1.0,10,1
2782,3,36,9,0,1,0,0.5000000000000001,5.000000000000001,0,0.0,2,1
2783,1,36,9,0,0,0,0.0,0.0,4,-1.2,6,0
2816,0,37,9,0,1,0,0.5000000000000001,5.000000000000001,0,0.0,3,1
2817,1,37,9,0,0,0,0.0,0.0,0,-1.0,5,0
2873,3,38,14,0,2,0,0.6000000000000002,6.000000000000002,1,1.0,6,2
2874,1,38,15,0,1,0,0.0,0.0,0,-1.0,8,1
2956,2,39,21,0,3,0,0.5000000000000003,5.000000000000003,0,0.0,13,3
2957,1,39,21,0,2,0,0.0,0.0,3,-1.2,15,2
2991,3,40,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,5,1
2992,1,40,9,0,0,0,0.0,0.0,0,-1.0,6,0
3048,1,41,14,0,2,0,0.6000000000000003,6.000000000000003,0,0.0,9,2
3049,3,41,15,0,1,0,0.0,0.0,1,-1.2,10,1
3107,2,42,15,0,2,0,0.5000000000000002,5.000000000000002,0,0.0,7,2
3108,3,42,15,0,1,0,0.0,0.0,0,-1.0,6,1
3165,3,43,15,0,2,0,0.5000000000000002,5.000000000000002,0,0.0,10,2
3166,2,43,15,0,1,0,0.0,0.0,0,-1.0,9,1
3222,3,44,14,0,2,0,0.6000000000000001,6.000000000000001,0,0.0,9,2
3223,1,44,15,0,1,0,0.0,0.0,0,-1.0,11,1
3353,3,45,33,1,5,0,0.5000000000000002,11.0,0,1.0,11,6
3354,1,45,33,1,4,0,0.0,5.000000000000002,0,0.0,11,5
3388,1,46,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,7,1
3389,2,46,9,1,0,0,0.0,5.000000000000001,0,0.0,5,1
3421,2,47,8,0,1,0,0.6000000000000002,6.000000000000002,0,0.0,7,1
3422,3,47,9,0,0,0,0.0,0.0,0,-1.0,8,0
3502,2,48,20,0,3,1,0.6000000000000003,6.000000000000003,2,-0.2,15,3
3503,1,48,21,0,2,0,0.0,0.0,4,-1.2,16,2
3538,3,49,9,0,1,0,0.5000000000000001,5.000000000000001,0,0.0,4,1
3539,1,49,9,0,0,0,0.0,0.0,1,-1.2,7,0
3621,2,50,21,0,3,1,0.5000000000000003,5.000000000000003,1,1.0,18,3
3622,1,50,21,0,2,0,0.0,0.0,3,-1.2,14,2
3656,0,51,9,0,2,0,1.1,11.0,1,1.0,5,2
3657,1,51,9,0,0,0,0.0,0.0,4,-1.2,8,0
3739,2,52,21,0,3,2,0.5000000000000006,5.000000000000005,0,0.0,11,3
3740,1,52,21,0,2,1,0.0,0.0,4,-1.2,12,2
3773,2,53,9,0,1,0,0.5000000000000001,5.000000000000001,1,1.0,5,1
3774,1,53,9,0,0,0,0.0,0.0,4,-1.2,5,0
