day,baseline,rawlsian
1.0,0.013551724137931043,0.013938030297825588
2.0,0.04052972357607865,0.04120879120879106
3.0,0.07424316491497618,0.06250434057920673
4.0,0.0869205298013247,0.08177713933921571
5.0,0.09495196416971519,0.087393256897901
6.0,0.10715014106529774,0.09483226945538492
7.0,0.12922131570794182,0.10312977099236642
8.0,0.14631857053465902,0.1137020361534844
9.0,0.16456409994973908,0.1213805820172178
10.0,0.153519350948361,0.11367458182736034
11.0,0.15809084457061728,0.12908127208480558
12.0,0.1595492451081919,0.1369766788423714
13.0,0.17156916347730977,0.1479050279329608
14.0,0.18894950381051578,0.15994266536148793
15.0,0.20786021537571586,0.1597556030703553
16.0,0.18769441040625878,0.1431755950291369
17.0,0.19600828469214826,0.1498318267815848
18.0,0.1959080717488788,0.16006641034603275
19.0,0.20433136313261913,0.1683737677410333
20.0,0.21691820450002663,0.18063334369236794
21.0,0.22719330129626414,0.18586494227341888
22.0,0.20588013853335307,0.17003834123700923
23.0,0.20744680851063801,0.17516596258298134
24.0,0.20838323353293386,0.18892549417131255
25.0,0.2197265625,0.19272445820433393
26.0,0.23743368316242153,0.200185927759575
27.0,0.25586478524889156,0.21248484639793075
28.0,0.23595906711089953,0.1858826912018401
29.0,0.23837488015340336,0.19492440604751615
30.0,0.24988151658767732,0.20219601751165062
31.0,0.24848343443770404,0.20977906812066283
32.0,0.25874077120694994,0.22140458195233048
33.0,0.27561326915704587,0.22539784741853475
34.0,0.25645498953244916,0.20060606060606045
35.0,0.27277468706536856,0.20871281117182727
36.0,0.28102378490175794,0.2145259938837918
37.0,0.2925235273614498,0.22092671108419126
38.0,0.3004950466539088,0.22136754074600384
39.0,0.3054576461396231,0.2298447086327
40.0,0.2894893111638953,0.20898332436793954
41.0,0.2943716497915423,0.21672012830793896
42.0,0.2900696864111495,0.21810506566604126
43.0,0.30512971698113156,0.22346776333244867
44.0,0.3191931683983913,0.23370984964228692
45.0,0.32005332085014926,0.23853429049379948
46.0,0.2822727272727271,0.22783888709155597
47.0,0.27718894009216555,0.22870280735721193
48.0,0.28793418647166324,0.23582474226804107
49.0,0.2768915223336368,0.24201277955271538
50.0,0.3018240002385417,0.2498933380237789
