day,2_baseline,2_rawlsian
1,8.46473236618309,8.536768384192095
2,9.4625,10.3205
3,10.3195,11.0005
4,11.0175,11.7975
5,11.6675,12.7835
6,12.2065,13.6555
7,12.7335,14.8965
8,13.2905,15.996499999999997
9,13.938075742067552,17.131951466127397
10,15.179046563192905,18.16752049180328
11,15.622505543237251,19.02407786885246
12,15.929600886917958,20.022028688524586
13,16.233370288248334,21.29354508196721
14,16.590354767184035,22.316086065573767
15,17.02631578947368,23.43759709994821
16,18.27077106993425,24.45364583333333
17,18.687387925881648,25.438020833333326
18,19.053795576808124,26.434895833333325
19,19.452480573819482,27.428645833333327
20,19.802757793764982,28.350520833333327
21,20.580586080586077,29.46889702038682
22,21.452758402029165,30.435263157894724
23,21.807228915662645,31.36157894736841
24,22.070386810399487,32.2878947368421
25,22.394419784400753,33.087894736842095
26,22.873730964466997,33.9857894736842
27,24.025573770491793,35.01958708311274
28,24.978014656895393,35.816110227874915
29,25.425049966688864,36.66348701642818
30,25.888074616922044,37.45363010068892
31,26.247168554297126,38.38367779544249
32,26.727636849132168,39.20879703232643
33,27.734428473648176,40.28173540439206
34,28.70563674321502,40.95435016111706
35,29.08350730688934,41.63641245972072
36,29.54070981210855,42.353920515574636
37,30.156576200417526,43.00698174006443
38,30.825418994413397,43.979054779806646
39,32.18529199711607,44.74388254486132
40,32.92419825072885,45.57267283614588
41,33.502915451895035,46.274360370168736
42,34.11661807580174,47.0185084376701
43,34.65597667638483,47.733260751224805
44,35.22157434402331,48.297768100163296
45,36.41610738255032,49.407202216066466
46,36.94831460674156,50.17894736842104
47,37.494382022471896,50.64819944598337
48,38.089887640449426,51.26038781163434
49,38.451685393258416,51.766204986149575
50,38.936936936936924,52.577839335180045
